Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
GX7DMXLC,journalArticle,2018.0,"Amador, Elena S.; Bandfield, Joshua L.; Thomas, Nancy H.",A search for minerals associated with serpentinization across Mars using CRISM spectral data,Icarus,,00191035,10.1016/j.icarus.2018.03.021,https://linkinghub.elsevier.com/retrieve/pii/S0019103517302762,"Sites associated with serpentinization processes, both on Earth and throughout the Solar System, are becoming increasingly compelling for the study of habitability and astrobiology. The co-occurrence of serpentine, Mg-carbonate, and talc/saponite on Mars is most like terrestrial sites where this mineral suite is produced in low-temperature serpentinizing environments, and where on Earth these reactions support biological activity. This study aims to understand the global distribution of minerals associated with serpentinization. We performed a comprehensive analysis of the Compact Reconnaissance Imaging Spectrometer for Mars (CRISM) spectral dataset using factor analysis and target transformation methods to eﬃciently parse through the large quantity of data. These methods allow for the rapid analysis of thousands of images and provide a quantitative means to determine the signiﬁcant spectral constituents of an image. These methods were used to produce a global distribution map of CRISM images with a signiﬁcant likelihood of containing the spectral types of interest. Previous detections of serpentine using traditional CRISM analysis techniques were typically corroborated and additional detections were identiﬁed in isolated locations across the martian southern highlands. Most serpentine across Mars is associated with another Fe/Mg-phyllosilicate phase like talc and/or saponite. Except for in the Nili Fossae region, serpentine shows no clear relationship with ultramaﬁc bedrock or with the other mineral phases investigated (Mgcarbonate and talc/saponite). Most serpentine detections were found in isolated exposures, associated with crater ejecta, knobby terrain, or as part of discontinuous layers in crater or valley walls. Nili Fossae shows more pervasive and extensive detections of a serpentine + phyllosilicate endmember than previously recognized, particularly in the eastern portion of Nili Fossae where the highest concentration of olivine-rich basalts is located. These ﬁndings imply that large, regional-scale near surface serpentinizing systems were likely rare on Mars. However, low-concentration serpentine detections across the southern highlands do suggest more pervasive serpentinization early in Mars history, when the planet was more geologically active.",2018-09,2025-09-13 04:45:37,2025-09-13 04:45:37,2025-09-13 04:45:37,113-134,,,311.0,,Icarus,,,,,,,,en,,,,,DOI.org (Crossref),,,,D:\Zotero\storage\Q7S2LT9R\Amador 等 - 2018 - A search for minerals associated with serpentinization across Mars using CRISM spectral data.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QSNZYHZY,journalArticle,2018.0,"Liu, Jun; Luo, Bin; Douté, Sylvain; Chanussot, Jocelyn",Exploration of Planetary Hyperspectral Images with Unsupervised Spectral Unmixing: A Case Study of Planet Mars,Remote Sensing,,2072-4292,10.3390/rs10050737,https://www.mdpi.com/2072-4292/10/5/737,"We propose to replace traditional spectral index methods by unsupervised spectral unmixing methods for the exploration of large datasets of planetary hyperspectral images. The main goal of this article is to test the ability of these analysis techniques to automatically extract the spectral signatures of the species present on the surface and to map their abundances accurately and with an acceptable processing time. We consider observations of the surface of Mars acquired by the imaging spectrometer OMEGA aboard MEX as a case study. The moderate spatial resolution (≈300 m/pixel at best) of this instrument implies the systematic existence of geographical mixtures possibly conjugated with non-linear (e.g., intimate) mixtures. We examine the sensitivity of a series of state-of-the-art methods of unmixing to the intrinsic spectral variability of the species in the image and to intimate assemblages of compounds. This study is made possible thanks to the use of well-controlled synthetic data and a real OMEGA image, for which the present icy species (water and carbon dioxide ices) and their characteristic spectra are widely known by the planetary community. Furthermore, reference maps of component abundances are built by the inversion of a more realistic physical model (simulating the propagation of solar light through the atmosphere and reﬂected back to the sensor) in order to validate the methods with the real image by comparison with the maps extracted by unmixing. The results produced by the processing pipeline of the eigenvalue likelihood maximization (ELM), vertex component analysis (VCA) and non-negativity condition least squares error estimators (NNLS) are the most robust to non-linear effects, highly-mixed pixels and different types of mixtures. Despite this fact, the produced results are not always the best because the VCA method assumes the existence of pure pixels in the image, that is pixels completely occupied by a single species. However, this pipeline is very fast and provides endmember spectra that are always interpretable. Finally, it produces more accurate distribution maps than the spectral index methods. More generally, the potential beneﬁts of unsupervised spectral unmixing methods in planetary exploration is emphasized.",2018-05-10,2025-09-13 04:45:40,2025-09-13 04:45:40,2025-09-13 04:45:40,737,,5,10.0,,Remote Sensing,Exploration of Planetary Hyperspectral Images with Unsupervised Spectral Unmixing,,,,,,,en,https://creativecommons.org/licenses/by/4.0/,,,,DOI.org (Crossref),,,,D:\Zotero\storage\SB3SHC8Y\Liu 等 - 2018 - Exploration of Planetary Hyperspectral Images with Unsupervised Spectral Unmixing A Case Study of P.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATRV9NI,journalArticle,2018.0,"Rampe, E. B.; Lapotre, M. G. A.; Bristow, T. F.; Arvidson, R. E.; Morris, R. V.; Achilles, C. N.; Weitz, C.; Blake, D. F.; Ming, D. W.; Morrison, S. M.; Vaniman, D. T.; Chipera, S. J.; Downs, R. T.; Grotzinger, J. P.; Hazen, R. M.; Peretyazhko, T. S.; Sutter, B.; Tu, V.; Yen, A. S.; Horgan, B.; Castle, N.; Craig, P. I.; Des Marais, D. J.; Farmer, J.; Gellert, R.; McAdam, A. C.; Morookian, J. M.; Sarrazin, P. C.; Treiman, A. H.","Sand Mineralogy Within the Bagnold Dunes, Gale Crater, as Observed In Situ and From Orbit",Geophysical Research Letters,,"0094-8276, 1944-8007",10.1029/2018GL079073,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2018GL079073,"Curiosity investigated active eolian sands near linear dunes during Phase 2 of the Bagnold Dunes campaign in Gale crater, Mars. Ogunquit Beach, a sample scooped from a large-ripple trough within the Mount Desert Island ripple ﬁeld and delivered to the Chemistry and Mineralogy (CheMin) X-ray diffraction instrument, is dominated by basaltic igneous minerals and X-ray amorphous materials. CheMin mineralogy of the Gobabeb sample acquired at a large-ripple crest on the Namib barchan dune during Phase 1 is similar to Ogunquit Beach. Ogunquit Beach, however, contains more plagioclase and Gobabeb contains more olivine. Compact Reconnaissance Imaging Spectrometer for Mars (CRISM)-based estimates of mineralogy at the optical surface of Namib Dune and Mount Desert Island demonstrate that surface sands are enriched in olivine and depleted in plagioclase over Mount Desert Island relative to Namib Dune. Differences between CheMin-derived and CRISM-derived mineralogies suggest sorting by grain size on bedform to dune ﬁeld scales. Crystal chemistry from CheMin suggests contributions from multiple igneous sources and the local bedrock. Plain Language Summary Remote sensing data from orbit indicate that wind-blown sands in the Bagnold Dune Field in Gale crater, Mars, are sorted by their composition. The Mars Science Laboratory Curiosity rover studied the Bagnold Dune Field at two locations to investigate the chemical and mineral composition of the sands and why they are sorted across the dune ﬁeld. Data from Curiosity show distinct differences between the minerals in the upwind portion of the dune ﬁeld compared to the downwind portion, but these differences are not the same as those observed from orbit. The scale and location of the sampling by Curiosity compared to orbiters explains the discrepancy between the two techniques. Results from both techniques suggest subtle differences in mineralogy within a single dune and across the dune ﬁeld that can be explained by sorting from wind and contribution from the erosion of local bedrock.",2018-09-28,2025-09-13 04:45:42,2025-09-13 04:45:42,2025-09-13 04:45:42,9488-9497,,18,45.0,,Geophysical Research Letters,,,,,,,,en,,,,,DOI.org (Crossref),,,,"D:\Zotero\storage\MRPB2TSB\Rampe 等 - 2018 - Sand Mineralogy Within the Bagnold Dunes, Gale Crater, as Observed In Situ and From Orbit.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99BQIPM3,journalArticle,2018.0,"Zhang, Xia; Wu, Xing; Lin, Honglei; Wang, Nan; 中国科学院遥感与数字地球研究所，北京 100101 Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing 100101, China; 中国科学院大学，北京 100049 University of Chinese Academy of Science, Beijing 100049, China","Retrieval of mineral abundances of delta region in Eberswalde, Mars",National Remote Sensing Bulletin,,1007-4619,10.11834/jrs.20187046,http://www.ygxb.ac.cn/zh/article/doi/10.11834/jrs.20187046/,,2018,2025-09-13 04:45:44,2025-09-13 04:45:44,2025-09-13 04:45:44,304-312,,2,22.0,,,,,,,,,,zh,,,,,DOI.org (Crossref),,,,"D:\Zotero\storage\YI4JLCX8\Zhang 等 - 2018 - Retrieval of mineral abundances of delta region in Eberswalde, Mars.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65K9A4HL,journalArticle,2020.0,"Buczkowski, Debra L.; Seelos, Kimberly D.; Viviano, Christina E.; Murchie, Scott L.; Seelos, Frank P.; Malaret, Erick; Hash, Christopher",Anomalous Phyllosilicate‐Bearing Outcrops South of Coprates Chasma: A Study of Possible Emplacement Mechanisms,Journal of Geophysical Research: Planets,,"2169-9097, 2169-9100",10.1029/2019JE006043,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2019JE006043,"The formation of widespread phyllosilicate‐bearing near‐surface layers on Mars has often been attributed to pedogenesis, a process of weathering basaltic soils by continued exposure to meteoric water percolating down from the surface, which can result in layers of aluminum phyllosilicates forming over layers of iron‐magnesium phyllosilicates. We present evidence of an Fe/Mg‐smectite bearing layer stratigraphically above Al‐phyllosilicates in three circular features to the south of Coprates Chasma, suggesting that some process other than, or in addition to, a single pedogenic sequence must have been involved. A review of several formation mechanisms shows that all models require multiple episodes of aqueous alteration. In addition, only by invoking groundwater alteration in conjunction with pedogenesis can we reconcile the stratigraphic pattern of altered material exposed by these features. Plain Language Summary The layered surface composition of many places on Mars is thought to have formed by top‐down weathering due to rainfall or the melting of snow. We present evidence from speciﬁc locations along the southern rim of Valles Marineris that suggests that there must have been at least two distinct periods of weathering. In addition, the characteristics of these weathered materials and their relationship to craters and other landforms suggest that some of the weathering is better explained by groundwater ﬂow, not water percolating down from the surface.",2020-01,2025-09-13 04:45:47,2025-09-13 04:45:47,2025-09-13 04:45:47,e2019JE006043,,1,125.0,,JGR Planets,Anomalous Phyllosilicate‐Bearing Outcrops South of Coprates Chasma,,,,,,,en,,,,,DOI.org (Crossref),,,,D:\Zotero\storage\XYNTPY5W\Buczkowski 等 - 2020 - Anomalous Phyllosilicate‐Bearing Outcrops South of Coprates Chasma A Study of Possible Emplacement.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L8FP6MA8,journalArticle,2019.0,"Cannon, Kevin M.; Britt, Daniel T.; Smith, Trent M.; Fritsche, Ralph F.; Batcheldor, Daniel",Mars global simulant MGS-1: A Rocknest-based open standard for basaltic martian regolith simulants,Icarus,,00191035,10.1016/j.icarus.2018.08.019,https://linkinghub.elsevier.com/retrieve/pii/S0019103518303038,"The composition and physical properties of martian regolith are dramatically better understood compared to just a decade ago, particularly through the use of X-ray diﬀraction by the Curiosity rover. Because there are no samples of this regolith on Earth, researchers and engineers rely on terrestrial simulants to test future hardware and address fundamental science and engineering questions. Even with eventual sample return, the amount of material brought back would not be enough for bulk studies. Many existing Mars simulants were designed 10 or 20 years ago based on a more rudimentary understanding of martian surface materials. Here, we describe the Mars Global Simulant (MGS-1), a new open standard designed as a high ﬁdelity mineralogical analog to global basaltic regolith on Mars, as represented by the Rocknest windblown deposit at Gale crater. We developed prototype simulants using the MGS-1 standard and characterized their basic physical properties, bulk chemistry, spectral properties, and volatile content. The MGS-1 based simulant compares favorably to rover and remote sensing observations from Mars, and oﬀers dramatic improvements over past simulants in many areas. Modest amounts of simulant will be produced by the Center for Lunar & Asteroid Surface Science (CLASS) Exolith Lab to distribute to other researchers. By publishing the mineral recipe and production methods, we anticipate that other groups can re-create the simulant and modify it as they see ﬁt, leading to a more sustainable model for simulant production and the possibility of extending the simulant for diﬀerent regions on Mars or for diﬀerent applications.",2019-01,2025-09-13 04:45:50,2025-09-13 04:45:50,2025-09-13 04:45:50,470-478,,,317.0,,Icarus,Mars global simulant MGS-1,,,,,,,en,,,,,DOI.org (Crossref),,,,D:\Zotero\storage\XYMLCZLM\Cannon 等 - 2019 - Mars global simulant MGS-1 A Rocknest-based open standard for basaltic martian regolith simulants.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6WL2ZBR8,preprint,2019.0,"Dundar, Murat; Ehlmann, Bethany L; Leask, Ellen",Machine-Learning-Driven New Geologic Discoveries at Mars Rover Landing Sites: Jezero Crater and NE Syrtis,,,,10.1002/essoar.10501294.1,https://essopenarchive.org/doi/full/10.1002/essoar.10501294.1,"A hierarchical Bayesian classiﬁer is trained at pixel scale with spectral data from the CRISM (Compact Reconnaissance Imaging Spectrometer for Mars) images. Its utility in detecting small exposures of uncommon phases is demonstrated with new geologic discoveries near the Mars-2020 rover landing site. Akaganeite is found in sediments on the Jezero crater ﬂoor and in ﬂuvial deposits at NE Syrtis. Jarosite and silica are found on the Jezero crater ﬂoor while chlorite-smectite and Al phyllosilicates are found in the Jezero crater walls. These detections point to a multi-stage, multi-chemistry history of water in Jezero crater and the surrounding region and provide new information for guiding the Mars-2020 rover’s landed exploration. In particular, the akaganeite, silica, and jarosite in the ﬂoor deposits suggest either a later episode of salty, Fe-rich waters that post-date the Jezero crater delta or groundwater alteration of portions of the Jezero crater sedimentary sequence.",2019-12-18,2025-09-13 04:45:52,2025-09-13 04:45:52,2025-09-13 04:45:52,,,,,,,Machine-Learning-Driven New Geologic Discoveries at Mars Rover Landing Sites,,,,,Planetology,,en,,,,,DOI.org (Crossref),,,,D:\Zotero\storage\UEEAR88P\Dundar 等 - 2019 - Machine-Learning-Driven New Geologic Discoveries at Mars Rover Landing Sites Jezero Crater and NE S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKIIAGD,journalArticle,2019.0,"Lin, Honglei; Mustard, John F.; Zhang, Xia",A methodology for quantitative analysis of hydrated minerals on Mars with large endmember library using CRISM near-infrared data,Planetary and Space Science,,00320633,10.1016/j.pss.2018.11.005,https://linkinghub.elsevier.com/retrieve/pii/S0032063318301624,"Hydrated minerals are good indicators of aqueous environments on Mars. Accurate mineral species identiﬁcation and quantitative estimation of their abundance is very important for understanding past and present geologic and climatic processes of Mars. We present a novel methodology to analyze hydrated minerals using the Compact Reconnaissance Imaging Spectrometer for Mars (CRISM) data. The methodology is driven by a sparse unmixing model, which can select the optimal subset of signatures from a large endmember library to best model mixed spectra. Laboratory measured spectra of minerals and rocks, scene-derived spectra of common components such as dust and synthetic ﬂat and pure slope spectra are used to populate an endmember library. CRISM and the endmember library reﬂectance spectra are converted to single-scattering albedo with the Hapke radiative transfer model. The single-scattering albedos of the CRISM and endmember library spectra are then L1 normalized to eliminate the effects of the different measurement conditions between laboratory and orbital data. The sparse unmixing algorithm is ﬁnally applied to CRISM normalized single-scattering albedo data using the spectral library. Mineral identiﬁcation and quantitative analysis are accomplished at the same time. The methodology shows good performance in synthetic and laboratory mineral mixture suites. Examples of six CRISM targeted mode images in three locations (Nili Fossae, Northeast Syrtis Major and Kashira crater), which have been previously thoroughly studied, were analyzed in detail in this study. In comparison with previous studies, our methodology identiﬁes the mineral deposits detected through more manually intensive methods by expert analysts while simultaneously determining the mineral abundances. Furthermore, this new method provides an objective pathway to the determination of mineral presence from a large library of potential options. As an example of unexpected results, we detected putative serpentine in the Nili Fossae images for the ﬁrst time. Even though the typical diagnostic spectral features used to identify minerals directly from CRISM data are obscured due to the mixing among mineral phases, T-test analyses of serpentine abundance provide critical statistical proof of its presence. Overall, the methodology we present works well for hydrated mineral detection with CRISM data and could provide a rigorous, objective method to map mineralogy in planetary hyperspectral remotely sensed data.",2019-01,2025-09-13 04:45:56,2025-09-13 04:45:56,2025-09-13 04:45:56,124-136,,,165.0,,Planetary and Space Science,,,,,,,,en,,,,,DOI.org (Crossref),,,,D:\Zotero\storage\ZGPDHY4T\Lin 等 - 2019 - A methodology for quantitative analysis of hydrated minerals on Mars with large endmember library us.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9T2HTDW3,bookSection,2019.0,"Mustard, John F.",Sequestration of Volatiles in the Martian Crust Through Hydrated Minerals,Volatiles in the Martian Crust,978-0-12-804191-8,,10.1016/B978-0-12-804191-8.00008-8,https://linkinghub.elsevier.com/retrieve/pii/B9780128041918000088,,2019,2025-09-13 04:45:58,2025-09-13 04:45:58,2025-09-13 04:45:58,247-263,,,,,,,,,,,Elsevier,,en,https://www.elsevier.com/tdm/userlicense/1.0/,,,,DOI.org (Crossref),,,,D:\Zotero\storage\5ZJ92YRM\Mustard - 2019 - Sequestration of Volatiles in the Martian Crust Through Hydrated Minerals.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744YC6F,conferencePaper,2019.0,"Parente, Mario; Itoh, Yuki; Saranathan, Arun",New CRISM Data Products for Improved Characterization and Analysis of the Mars2020 Landing Site,IGARSS 2019 - 2019 IEEE International Geoscience and Remote Sensing Symposium,978-1-5386-9154-0,,10.1109/IGARSS.2019.8899313,https://ieeexplore.ieee.org/document/8899313/,"In this work we introduce two novel products obtained from CRISM hyperspectral data, a new generation of denoised and atmospherically-corrected cubes and reﬁned mineral identiﬁcation maps. The corrected spectral cubes exhibit more resolved subtle absorption features that are crucial for mineral identiﬁcation. The improved mineral maps, produced with a technique based on generative adversarial models, was successful in more accurately characterizing the mineralogy of the Mars2020 landing site area at Jezero crater and helping address several scientiﬁc questions along a suggested traverse about the habitability of the environments on the crater ﬂoor, rim and delta.",2019-07,2025-09-13 04:46:00,2025-09-13 04:46:00,2025-09-13 04:46:00,4911-4914,,,,,,,,,,,IEEE,"Yokohama, Japan",en,https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html,,,,DOI.org (Crossref),,,,D:\Zotero\storage\BZ7I6ALN\Parente 等 - 2019 - New CRISM Data Products for Improved Characterization and Analysis of the Mars2020 Landing Site.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IGARSS 2019 - 2019 IEEE International Geoscience and Remote Sensing Symposium,,,,,,,,,,,,,,,
QIU4AU56,journalArticle,2019.0,"Tarnas, J. D.; Mustard, J. F.; Lin, Honglei; Goudge, T. A.; Amador, E. S.; Bramble, M. S.; Kremer, C. H.; Zhang, X.; Itoh, Y.; Parente, M.","Orbital Identification of Hydrated Silica in Jezero Crater, Mars",Geophysical Research Letters,,"0094-8276, 1944-8007",10.1029/2019GL085584,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2019GL085584,"Silica has the highest demonstrated potential of any phase to preserve microfossils on Earth and therefore may host potential biosignatures on Mars. We detected hydrated silica in Jezero crater, the landing site of the National Aeronautics and Space Administration's Mars 2020 rover mission, by applying Dynamic Aperture Factor Analysis/Target Transformation to images from the Compact Reconnaissance Imaging Spectrometer for Mars. Hydrated silica detections with Dynamic Aperture Factor Analysis/Target Transformation were veriﬁed using commonly accepted Compact Reconnaissance Imaging Spectrometer for Mars analysis methods. The morphology of geologic units associated with silica was characterized with high‐resolution imaging. Several hypotheses are presented for the formation environment of hydrated silica. All are testable via in situ investigation. We assess the likelihood of silica to preserve biosignatures in these different scenarios based on habitability considerations and biosignature preservation in Earth analog environments and materials. Also reported are possible detections of hydrated silica in the Nili Fossae basement and olivine‐rich units, as well as Al‐phyllosilicate within Jezero crater.",2019-11-28,2025-09-13 04:46:03,2025-09-13 04:46:03,2025-09-13 04:46:03,12771-12782,,22,46.0,,Geophysical Research Letters,,,,,,,,en,,,,,DOI.org (Crossref),,,,"D:\Zotero\storage\W5DUAQKC\Tarnas 等 - 2019 - Orbital Identification of Hydrated Silica in Jezero Crater, Mars.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV34IXGX,journalArticle,2019.0,"Zhong, Y.; He, D.; Luo, B.; Zhang, L.",Contemporary Liquid Brine Exploration on Mars: From Spectral Unmixing to Subpixel Mapping,Earth and Space Science,,"2333-5084, 2333-5084",10.1029/2018EA000526,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2018EA000526,"Water is a critical symbol for the existence of life in deep space exploration, and thus, the conﬁrmation of the existence of liquid water on the contemporary Martian surface is important for the future studies of the hydrologic cycle and potential life on Mars. The main Mars observation system at a global scale is the Mars Reconnaissance Orbiter; however, this system has several drawbacks, that is, it cannot simultaneously resolve the features narrower than a few meters and scrutinize the surface composition both physically and chemically, leading to deﬁcient and unsophisticated aqueous activity detection. Therefore, in this study, a joint endmember extraction, spectral analysis, and subpixel mapping technique, which we refer to as a joint processing pipeline, was applied to accommodate the detailed spatial information with the composition information in the physical and chemical aspects through luxuriant spectra. The validation of the proposed joint processing pipeline is described in the experimental part, with a case study of the megadune in the Russell Crater of Mars. The experimental results not only conﬁrm the superior performance of the proposed pipeline in the accurate mapping and retrieval of Mars surface geology but also provide spectral evidence for the conﬁrmation that hydrated material existed in the Russell Crater. Plain Language Summary Water is essential for life, and thus the search for life on Mars can be achieved by searching for water‐related material on the Martian surface, which is exactly what we have aimed at in this paper. Over the past decades, many geophysical phenomena have been increasingly observed to have a close relationship to the ﬂow of contemporary liquid water. In this paper, the Martian surface water was detected and recognized through the remotely sensed images obtained from the Mars satellites, which together provide a global view of the Martian surface and luxuriant spectral information for uniquely and diagnostically recognizing water‐related material. A Martian surface thematic map concerning water‐related material was also generated, describing the geospatial distribution of the water component, for the future hydrologic research and the study of potential life on Mars.",2019-03,2025-09-13 04:46:05,2025-09-13 04:46:06,2025-09-13 04:46:05,433-466,,3,6.0,,Earth and Space Science,Contemporary Liquid Brine Exploration on Mars,,,,,,,en,,,,,DOI.org (Crossref),,,,D:\Zotero\storage\J32G9WH6\Zhong 等 - 2019 - Contemporary Liquid Brine Exploration on Mars From Spectral Unmixing to Subpixel Mapping.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B78AN68B,journalArticle,2020.0,"Beck, Andrew W.; Murchie, Scott L.; Viviano, Christina E.",A search for early- to mid-Noachian chloride-rich deposits on Mars,Icarus,,00191035,10.1016/j.icarus.2019.113552,https://linkinghub.elsevier.com/retrieve/pii/S0019103519306608,"Chloride-bearing deposits on Mars that are recognizable in orbital infrared data are thought to date to the late Noachian period ~3.6 Gyr ago, during the last stages of surface water that persisted long enough over large regions to have emplaced aqueously formed minerals detectable from orbit. We conducted an intensive regional search for older, buried and exhumed chloride-rich deposits and found none resolvable from orbit, placing constraints on the upper age limit for this type of deposit.",2020-03,2025-09-13 04:47:30,2025-09-13 04:47:30,2025-09-13 04:47:30,113552,,,338.0,,Icarus,,,,,,,,en,,,,,DOI.org (Crossref),,,,D:\Zotero\storage\Q2JZ935Z\Beck 等 - 2020 - A search for early- to mid-Noachian chloride-rich deposits on Mars.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7PWLRG6Y,conferencePaper,2020.0,"Bishop, J. L.; Parente, M.; Saranathan, A. M.; Itoh, Y.; Weitz, C. M.; Flahaut, J.; Gross, C.; Danielsen, J. M.; Usabal, G. S.; Miura, J. K.",Implementing New Feature Extraction Techniques for Characterization of Complex Mineral Signatures of Salty Regions on Mars,IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium,978-1-7281-6374-1,,10.1109/IGARSS39084.2020.9324608,https://ieeexplore.ieee.org/document/9324608/,"This study exploits recent advances in image calibration and feature extraction techniques for analysis of hyperspectral images acquired by the Compact Reconnaissance Imaging Spectrometer for Mars (CRISM) to characterize subtle geologic outcrops at the border of phyllosilicate-bearing and sulfate-bearing regions of Mars. Specifically, a unique spectral “doublet” feature at 2.21-2.23 and 2.26-2.28 µm is isolated to characterize salty regions that may represent a changing climate on Mars. The martian locations exhibiting these spectral features are identified and compared with terrestrial settings with similar geologic compositions.",2020-09-26,2025-09-13 04:47:33,2025-09-13 04:47:33,2025-09-13 04:47:33,5147-5150,,,,,,,,,,,IEEE,"Waikoloa, HI, USA",en,https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html,,,,DOI.org (Crossref),,,,D:\Zotero\storage\LL77465T\Bishop 等 - 2020 - Implementing New Feature Extraction Techniques for Characterization of Complex Mineral Signatures of.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium,,,,,,,,,,,,,,,
ZPXBK2E3,journalArticle,2020.0,"Brown, A. J.; Viviano, C. E.; Goudge, T. A.",Olivine‐Carbonate Mineralogy of the Jezero Crater Region,Journal of Geophysical Research: Planets,,"2169-9097, 2169-9100",10.1029/2019JE006011,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2019JE006011,"A well‐preserved, ancient delta deposit, in combination with ample exposures of carbonate outcrops, makes Jezero Crater in Nili Fossae a compelling astrobiological site. We use Compact Reconnaissance Imaging Spectrometer for Mars (CRISM) observations to characterize the surface mineralogy of the crater and surrounding watershed. Previous studies have documented the occurrence of olivine and carbonates in the Nili Fossae region. We focus on correlations between these two well‐studied lithologies in the Jezero crater watershed. We map the position and shape of the olivine 1 μm absorption band and ﬁnd that carbonates are found in association with olivine which displays a 1 μm band shifted to long wavelengths. We then use Thermal Emission Imaging Spectrometer (THEMIS) coverage of Nili Fossae and perform tests to investigate whether the long wavelength shifted (redshifted) olivine signature is correlated with high thermal inertia outcrops. We ﬁnd that there is no consistent correlation between thermal inertia and the unique olivine signature. We discuss a range of formation scenarios for the olivine and carbonate associations, including the possibility that these lithologies are products of serpentinization reactions on early Mars. These lithologies provide an opportunity for deepening our understanding of early Mars and, given their antiquity, may provide a framework to study the timing of valley networks and the thermal history of the Martian crust and interior from the early Noachian to today. Plain Language Summary We used Martian orbital data from a hyperspectral instrument on the spacecraft Mars Reconnaissance Orbiter (MRO) to assess the minerals on the surface of Mars at the future landing site of the Mars2020 rover. We found correlations between the minerals olivine and carbonate which are of interest to planetary scientists due to often being associated with volcanic activity (olivine) and life (carbonates). We used spectra of these minerals to infer the likely composition and grain size range of the olivine unit, and we document our new approach. We use our curve ﬁtting approach to identify for the ﬁrst time a special group of olivine‐bearing rocks at Nili Fossae that show the most extremely redshifted absorption bands, and we show herein that these special olivines are not spatially associated with carbonates or clay rocks.",2020-03,2025-09-13 04:47:35,2025-09-13 04:47:35,2025-09-13 04:47:35,e2019JE006011,,3,125.0,,JGR Planets,,,,,,,,en,,,,,DOI.org (Crossref),,,,D:\Zotero\storage\I67U9WIY\Brown 等 - 2020 - Olivine‐Carbonate Mineralogy of the Jezero Crater Region.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
